倉鼠	倉鼠 🐹
倒	倒 🤒
倒帶	倒帶 ⏪
倒彩	倒彩 🖕🏻
倒掛列車	倒掛列車 🚟
倒楣	倒楣 😫
倒臉	倒臉 🙃
倒讚	倒讚 👎🏻
倒贊	倒贊 👎🏻
倒退	倒退 ⏪ ◀️
借記卡	借記卡 💳
假肢	假肢 🦾 🦿
假面	假面 🎭 🥸
做禮拜	做禮拜 🛐
停	停 ⛔️
停止	停止 ⏹️
停止播放	停止播放 ⏹️
停止標誌	停止標誌 🛑
停車	停車 🅿️
停車場	停車場 🅿️
側翻	側翻 🤸🏻
側翻女	側翻女 🤸🏻‍♀️
側翻男	側翻男 🤸🏻‍♂️
偵探	偵探 🕵🏻
偵探女	偵探女 🕵🏻‍♀️
偵探男	偵探男 🕵🏻‍♂️
偷看	偷看 🫣
偷瞄	偷瞄 🫣
偷窺	偷窺 🫣
偷笑	偷笑 😏 🤭
偽裝	偽裝 🥸
傍晚	傍晚 🌆
傘	傘 🌂
備忘錄	備忘錄 📝
傲慢	傲慢 😤
傳呼機	傳呼機 📟
傳真	傳真 📠
傳真機	傳真機 📠
傷	傷 🤕
傷了	傷了 🤕
傷心	傷心 😩 ❤️‍🩹
傻	傻 🐷
傻冒	傻冒 🐷
傻屄	傻屄 🐷
傻逼	傻逼 🐷
像素遊戲	像素遊戲 👾
僵屍	僵屍 🧟
僵屍女	僵屍女 🧟‍♀️
僵屍男	僵屍男 🧟‍♂️
儲蓄卡	儲蓄卡 💳
元宵	元宵 🏮
兄妹	兄妹 👫🏻
兄弟	兄弟 👬🏻
兄弟姊妹	兄弟姊妹 👫🏻
兄弟姐妹	兄弟姐妹 👫🏻
充電	充電 🔋
先生	先生 🤵🏻 🤵🏻‍♂️
光明	光明 🌞
光明節	光明節 🕎
光盤	光盤 💿
光碟	光碟 💿
光頭	光頭 🧑🏻‍🦲 🦲
光頭女	光頭女 👩🏻‍🦲
光頭男	光頭男 👨🏻‍🦲
克爾白	克爾白 🕋
克羅地亞	克羅地亞 🇭🇷
克羅埃西亞	克羅埃西亞 🇭🇷
兌換	兌換 💱
免打擾	免打擾 🔕
免費	免費 🆓️
免費電話	免費電話 ➿
兒	兒 👦🏻
兒子	兒子 👦🏻 👨‍👩‍👦
兒童	兒童 🧒🏻
兔	兔 🐇
兔女	兔女 👯🏻‍♀️
兔女郎	兔女郎 👯🏻‍♀️
兔子	兔子 🐇
兔子頭	兔子頭 🐰
兔年	兔年 🐰
兔男	兔男 👯🏻‍♂️
兔男郎	兔男郎 👯🏻‍♂️
兔肉	兔肉 🐇
兔頭	兔頭 🐰
入場券	入場券 🎟️
內褲	內褲 🩲
全家	全家 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
兩人	兩人 👥
兩個女人	兩個女人 👭
兩個男人	兩個男人 👬
兩儀	兩儀 ☯️
兩替	兩替 💱
兩邊打開	兩邊打開 🔛
兩點	兩點 🕑
兩點半	兩點半 🕝
八	八 8️⃣
八帶魚	八帶魚 🐙
八爪魚	八爪魚 🐙
八角星	八角星 ✳️ ✴️
八點	八點 🕗
八點半	八點半 🕣
公主	公主 👸🏻
公事包	公事包 💼
公交	公交 🚌
公交車	公交車 🚌
公交車站	公交車站 🚏
公共汽車	公共汽車 🚍
公園	公園 ⛲️
公放	公放 📢
公文包	公文包 💼
公牛	公牛 🐂
公羊	公羊 🐏
公車	公車 🚌
公車站	公車站 🚏
公雞	公雞 🐓
六	六 6️⃣
六芒星	六芒星 ✡️
六點	六點 🕕
六點半	六點半 🕡
円	円 💴
再見	再見 👋🏻
冒冷汗	冒冷汗 😰 😓
冒汗	冒汗 😥 😰
冠軍	冠軍 🏆 🥇
冥想	冥想 🧘🏻
冥想女	冥想女 🧘🏻‍♀️
冥想男	冥想男 🧘🏻‍♂️
冰	冰 🧊
冰上曲棍球	冰上曲棍球 🏒
冰冷	冰冷 🥶
冰刀	冰刀 ⛸️
冰塊	冰塊 🧊
冰壺	冰壺 🥌
冰島	冰島 🇮🇸
冰淇淋	冰淇淋 🍨
冰激淋	冰激淋 🍨
冰球	冰球 🏒
冰石壺	冰石壺 🥌
冰鞋	冰鞋 ⛸️
冷	冷 ❄️ 🥶
冷杉	冷杉 🌲
冷汗	冷汗 😰 😓
冷漠	冷漠 😶 😐
冷笑	冷笑 😏
冷臉	冷臉 🥶
凋謝	凋謝 🥀
凋零	凋零 🥀
凍	凍 🥶
出事了	出事了 🚨
出國	出國 🚢
出拳	出拳 👊🏻‍
出汗	出汗 🥵 💦
出洋相	出洋相 🤡
出海	出海 🚢
出租車	出租車 🚕 🚖
出色	出色 🤩
出警	出警 🚨
出遊	出遊 🚙
出醜	出醜 🤡
刀	刀 🔪
刀叉	刀叉 🍴
分手	分手 💔
分析報告	分析報告 📊
切	切 😏 😝 🤪
划手	划手 🚣🏻
划船	划船 🚣🏻
划船女	划船女 🚣🏻‍♀️
划船男	划船男 🚣🏻‍♂️
划艇	划艇 🚣🏻
划艇女	划艇女 🚣🏻‍♀️
划艇男	划艇男 🚣🏻‍♂️
列印機	列印機 🖨️
列島	列島 🗾
列支敦士登	列支敦士登 🇱🇮
列支敦斯登	列支敦斯登 🇱🇮
初中	初中 🏫
初學者	初學者 🔰
別亂說	別亂說 🙊
別亂講	別亂講 🙊
別出聲	別出聲 🤫
別在意	別在意 🙏🏻
別墅	別墅 🏡
別墅區	別墅區 🏘️
別煩我	別煩我 😑
別理我	別理我 😑
別說	別說 🤭
別說了	別說了 🤐 🤭
別針	別針 🧷
別騙我	別騙我 😳
刨冰	刨冰 🍧
利是	利是 🧧
利樂包	利樂包 🧃
利比亞	利比亞 🇱🇾
利比里亞	利比里亞 🇱🇷
刮鬍刀	刮鬍刀 🪒
刺蝟	刺蝟 🦔
剃刀	剃刀 🪒
剃頭	剃頭 💇🏻
剃頭女	剃頭女 💇🏻‍♀️
剃頭男	剃頭男 💇🏻‍♂️
剃鬚刀	剃鬚刀 🪒
前	前 ⬆️
剛果	剛果 🇨🇬
剛果金	剛果金 🇨🇩
剪	剪 ✂️
剪刀	剪刀 ✂️
剪切板	剪切板 📋
剪子	剪子 ✂️
剪影	剪影 👤 👥
剪貼板	剪貼板 📋
剪輯	剪輯 🎬
剪頭髮	剪頭髮 💇🏻
剪頭髮女	剪頭髮女 💇🏻‍♀️
剪頭髮男	剪頭髮男 💇🏻‍♂️
剪髮	剪髮 💇🏻
剪髮女	剪髮女 💇🏻‍♀️
剪髮男	剪髮男 💇🏻‍♂️
割	割 🈹️
創傷貼	創傷貼 🩹
創可貼	創可貼 🩹
劍	劍 ⚔️
力量	力量 💪🏻
加	加 ➕
加冕	加冕 🫅🏻
加冕女	加冕女 🤴🏻
加冕男	加冕男 👸🏻
加密	加密 🔐
加彭	加彭 🇬🇦
加拿大	加拿大 🇨🇦
加油	加油 😼
加油站	加油站 ⛽️
加納	加納 🇬🇭
加蓬	加蓬 🇬🇦
加那利群島	加那利群島 🇮🇨
助聽器	助聽器 🦻🏻
動物腳印	動物腳印 🐾
動車	動車 🚅
勝利	勝利 🔱
勞作	勞作 ⚒️
勞動	勞動 ⚒️
勞工	勞工 🧑🏻‍🏭 👷🏻
勞工女	勞工女 👩🏻‍🏭 👷🏻‍♀️
勞工男	勞工男 👨🏻‍🏭 👷🏻‍♂️
勢利	勢利 🤑
勳章	勳章 🎖️
勺	勺 🥄
勺子	勺子 🥄
勾	勾 ✅ ✔️ ✓
勾勾	勾勾 ✅ ✔️ ✓
勾選	勾選 ✅
勿丟垃圾	勿丟垃圾 🚯
勿扔垃圾	勿扔垃圾 🚯
勿擾	勿擾 🔕
包	包 👝
包扎	包扎 🤕
包穀	包穀 🌽
包米	包米 🌽
包紮	包紮 🤕
包繃帶	包繃帶 🤕
包裝盒	包裝盒 🎁
包裹	包裹 📦
包頭巾	包頭巾 🧕🏻
匈牙利	匈牙利 🇭🇺
匕手	匕手 🗡️
化妝室	化妝室 🚻
化學	化學 ⚗️
化學物質	化學物質 🧪
化粧室	化粧室 🚻
北朝鮮	北朝鮮 🇰🇵
北極熊	北極熊 🐻‍❄️
北韓	北韓 🇰🇵
北馬利安納群島	北馬利安納群島 🇲🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
匙	匙 🥄
匯兌	匯兌 💱
匿名	匿名 👤
十	十 🔟
十一點	十一點 🕚
十一點半	十一點半 🕦
十二點	十二點 🕛
十二點半	十二點半 🕧
十八禁	十八禁 🔞
十字架	十字架 ✝️
十字路口	十字路口 🚥 🚦
十字鎬	十字鎬 ⛏️
十點	十點 🕙
十點半	十點半 🕥
千里達及托巴哥	千里達及托巴哥 🇹🇹
升值	升值 💹
升降梯	升降梯 🛗
半月	半月 🌓
半獸人	半獸人 🧌
南喬治亞和南桑威奇群島	南喬治亞和南桑威奇群島 🇬🇸
南喬治亞與南三明治群島	南喬治亞與南三明治群島 🇬🇸
南帽	南帽 🎩
南朝鮮	南朝鮮 🇰🇷
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃
南瓜人	南瓜人 🎃
南瓜燈	南瓜燈 🎃
南瓜臉	南瓜臉 🎃
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
博士	博士 🧑🏻‍🎓
博士女	博士女 👩🏻‍🎓
博士男	博士男 👨🏻‍🎓
博奈爾	博奈爾 🇧🇶
博茨瓦納	博茨瓦納 🇧🇼
卡塔爾	卡塔爾 🇶🇦
卡士達	卡士達 🍮
卡車	卡車 🚛 🛻
卡達	卡達 🇶🇦
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度寺廟	印度寺廟 🛕
印度尼西亞	印度尼西亞 🇮🇩
印度廟	印度廟 🛕
印度教	印度教 🕉️ 🛕
印度神廟	印度神廟 🛕
印表機	印表機 🖨️
危地馬拉	危地馬拉 🇬🇹
危險	危險 ⚠️ 🚨
卷筒衛生紙	卷筒衛生紙 🧻
卷蝦	卷蝦 🍤
卷餅	卷餅 🌯 🥙
厄利垂亞	厄利垂亞 🇪🇷
厄瓜多	厄瓜多 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亞	厄立特里亞 🇪🇷
原子	原子 ⚛️
原子彈	原子彈 ☢️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原諒我	原諒我 🙏🏻
厲害	厲害 🤩 😼
去氧核糖核酸	去氧核糖核酸 🧬
參禪	參禪 🧘🏻
參禪女	參禪女 🧘🏻‍♀️
參禪男	參禪男 🧘🏻‍♂️
叉	叉 ❎ ❌
叉叉	叉叉 ❌ ❎
友誼	友誼 🤝🏻
反派	反派 🦹🏻
反版權	反版權 🄯
取款	取款 🏧
取款機	取款機 🏧
取錢	取錢 🏧
受傷	受傷 🤕 ❤️‍🩹
受傷了	受傷了 🤕
口	口 👄
口岸	口岸 🛂
口紅	口紅 💄
口罩	口罩 😷
古典建築	古典建築 🏛️
古堡	古堡 🏰
古巴	古巴 🇨🇺
可	可 🉑️
可以	可以 🆗️ 👌🏻 😉 🙆🏻
可以女	可以女 🙆🏻‍♀️
可以男	可以男 🙆🏻‍♂️
可回收	可回收 ♻️
可怕	可怕 😨 😱 🙀 🤯
可惜	可惜 😮‍💨
可愛	可愛 💠 🥰
可憐	可憐 🥺
可樂	可樂 🥤
可真	可真 😓
可頌	可頌 🥐
台式機	台式機 🖥️
台歷	台歷 📆
