AB型血	AB型血 🆎️
勺	勺 🥄
勾	勾 ✅ ✔️ ✓
勾選	勾選 ✅
勿丟垃圾	勿丟垃圾 🚯
勿扔垃圾	勿扔垃圾 🚯
勿擾	勿擾 🔕
包	包 👝
包穀	包穀 🌽
包米	包米 🌽
包裝盒	包裝盒 🎁
包裹	包裹 📦
匈牙利	匈牙利 🇭🇺
匕手	匕手 🗡️
化妝室	化妝室 🚻
化學	化學 ⚗️
化學物質	化學物質 🧪
化粧室	化粧室 🚻
北朝鮮	北朝鮮 🇰🇵
北韓	北韓 🇰🇵
北馬利安納群島	北馬利安納群島 🇲🇵
北馬里亞納群島	北馬里亞納群島 🇲🇵
匙	匙 🥄
匯兌	匯兌 💱
醫學	醫學 ⚕️
醫療	醫療 ⚕️
醫神權杖	醫神權杖 ⚕️
醫院	醫院 🏥
匿名	匿名 👤
十	十 🔟
十一點	十一點 🕚
十一點半	十一點半 🕦
十二點	十二點 🕛
十二點半	十二點半 🕧
十八禁	十八禁 🔞
十字架	十字架 ✝️
十字路口	十字路口 🚥 🚦
十字鎬	十字鎬 ⛏️
十點	十點 🕙
十點半	十點半 🕥
千里達及托巴哥	千里達及托巴哥 🇹🇹
半月	半月 🌓
單親媽媽	單親媽媽 👩‍👦 👩‍👧 👩‍👧‍👦
單親家庭	單親家庭 👨‍👦 👨‍👧 👨‍👧‍👦 👩‍👦 👩‍👧 👩‍👧‍👦
單親爸爸	單親爸爸 👨‍👦 👨‍👧 👨‍👧‍👦
單峰駱駝	單峰駱駝 🐪
單曲循環	單曲循環 🔂
單板	單板 🏂🏻
單板滑雪	單板滑雪 🏂🏻
單身母親	單身母親 👩‍👦 👩‍👧 👩‍👧‍👦
單身父親	單身父親 👨‍👦 👨‍👧 👨‍👧‍👦
單車	單車 🚲
單軌電車	單軌電車 🚝
單選框	單選框 🔘
賣萌	賣萌 💠 😊 🥰
南喬治亞與南三明治群島	南喬治亞與南三明治群島 🇬🇸
南喬治亞和南桑威奇群島	南喬治亞和南桑威奇群島 🇬🇸
南帽	南帽 🎩
南朝鮮	南朝鮮 🇰🇷
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜	南瓜 🎃
南瓜人	南瓜人 🎃
南瓜燈	南瓜燈 🎃
南瓜臉	南瓜臉 🎃
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
博奈爾	博奈爾 🇧🇶
博茨瓦納	博茨瓦納 🇧🇼
卡塔爾	卡塔爾 🇶🇦
卡士達	卡士達 🍮
卡車	卡車 🚛 🛻
卡達	卡達 🇶🇦
盧安達	盧安達 🇷🇼
盧旺達	盧旺達 🇷🇼
盧森堡	盧森堡 🇱🇺
鹵煮	鹵煮 🍢
衛星	衛星 🛰️
衛生紙	衛生紙 🧻
衛生間	衛生間 🚾
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度尼西亞	印度尼西亞 🇮🇩
印度教	印度教 🕉️ 🛕
危地馬拉	危地馬拉 🇬🇹
危險	危險 ⚠️ 🚨
捲動	捲動 📜
捲紙	捲紙 🧻
卷蝦	卷蝦 🍤
卷餅	卷餅 🌯 🥙
厄利垂亞	厄利垂亞 🇪🇷
厄瓜多	厄瓜多 🇪🇨
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亞	厄立特里亞 🇪🇷
厲害	厲害 🤩 😼
壓縮	壓縮 🗜️
壓路機	壓路機 🚜
廁所	廁所 🚽 🚾 🚻
原子	原子 ⚛️
原子彈	原子彈 ☢️
原子筆	原子筆 🖊️
原子能	原子能 ⚛️
原諒我	原諒我 🙏🏻
去氧核糖核酸	去氧核糖核酸 🧬
叉	叉 ❎ ❌
叉叉	叉叉 ❌ ❎
友誼	友誼 🤝🏻
雙人	雙人 👥
雙嘆號	雙嘆號 ‼️
雙子座	雙子座 ♊️
雙峰駱駝	雙峰駱駝 🐫
雙版	雙版 ⛷
雙版滑雪	雙版滑雪 ⛷
雙目	雙目 👀
雙眼	雙眼 👀
雙肩包	雙肩包 🎒
雙胞	雙胞 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
雙胞胎	雙胞胎 👨‍👩‍👦‍👦 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧
雙魚座	雙魚座 ♓️
發火	發火 😡
發燒	發燒 🤒
發狂	發狂 🤯
發票	發票 🧾
發誓	發誓 ✊🏻
取款	取款 🏧
取款機	取款機 🏧
取錢	取錢 🏧
受傷	受傷 🤕 ❤️‍🩹
受傷了	受傷了 🤕
敘利亞	敘利亞 🇸🇾
口	口 👄
口岸	口岸 🛂
口紅	口紅 💄
口罩	口罩 😷
古堡	古堡 🏰
古巴	古巴 🇨🇺
可	可 🉑️
可樂	可樂 🥤
可回收	可回收 ♻️
可怕	可怕 😨 😱 🙀 🤯
可憐	可憐 🥺
可愛	可愛 💠 🥰
可真	可真 😓
台歷	台歷 📆
台式機	台式機 🖥️
台灣	台灣 🇹🇼
台球	台球 🎱
颱風	颱風 🌀
史巴克	史巴克 🖖🏻
史波克	史波克 🖖🏻
史瓦濟蘭	史瓦濟蘭 🇸🇿
右	右 ➡️
右上	右上 ↗️
右下	右下 ↘️
右勾拳	右勾拳 🤛🏻
右手邊	右手邊 👉🏻
右拳	右拳 🤛🏻
右邊	右邊 👉🏻
葉門	葉門 🇾🇪
司南	司南 🧭
嘆號	嘆號 ❕ ❗️
嘆氣	嘆氣 😮‍💨 😔
嘆問號	嘆問號 ⁉️
叻仔	叻仔 🤩 💯 😇
叻女	叻女 🤩 💯
吃吧	吃吧 😋
吃面	吃面 🍜
吃飯	吃飯 🍚
合	合 🈴️
合作	合作 🤝🏻
吉他	吉他 🎸
吉士	吉士 🍮
吉它	吉它 🎸
吉爾吉斯	吉爾吉斯 🇰🇬
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉里巴斯	吉里巴斯 🇰🇮
同志	同志 👬🏻
同性戀	同性戀 🏳‍🌈
後	後 ⬇️
吐	吐 🤮
吐司	吐司 🍞
土司	土司 🍞
吐瓦魯	吐瓦魯 🇹🇻
吐舌	吐舌 😛 😜 😝
吐舌頭	吐舌頭 😛 😜 😝
向上	向上 👆🏻 ☝🏻️ 🔼 🔺
向下	向下 👇🏻 🔽 🔻
向右	向右 👉🏻
向左	向左 👈🏻
向日葵	向日葵 🌻
向錢看	向錢看 🤑
嚇	嚇 😦
嚇人	嚇人 😱 🙀
嚇死	嚇死 😱 🙀
呂宋	呂宋 🇵🇭
含蓄	含蓄 ☺️
聽不下去	聽不下去 😞
聽不懂	聽不懂 😵
聽唔到	聽唔到 🙉
聽音樂	聽音樂 🎧
吹	吹 🌬️
吹氣	吹氣 🌬️
吹風	吹風 💨
吻	吻 💋 😘
吻你	吻你 😘 😙 😽 😽
呃	呃 😢 😿 🤪
嗚嗚	嗚嗚 😖
嗚嗚嗚	嗚嗚嗚 😖
呲牙	呲牙 😁
呵呵	呵呵 🙃 🙂 😄
呵護	呵護 🤲🏻
呼機	呼機 📟
命中	命中 🎯
和平	和平 ☮️ 🕊️
和平鴿	和平鴿 🕊️
和服	和服 👘
咖啡	咖啡 ☕️
咖喱飯	咖喱飯 🍛
咦	咦 🤨
咧嘴	咧嘴 😁
咨詢	咨詢 ℹ️
哀悼	哀悼 💮
哆嗦	哆嗦 🥶
哇	哇 😃 😯
哇哦	哇哦 😃 😯
哇喔	哇喔 😯
哈	哈 😄 😸 😺
哈哈	哈哈 😄 😸 😺
哈哈哈	哈哈哈 🤣
哈哈哈哈	哈哈哈哈 🤣
哈密瓜	哈密瓜 🍈
哈薩克	哈薩克 🇰🇿
哈薩克斯坦	哈薩克斯坦 🇰🇿
哈雷彗星	哈雷彗星 ☄️
響指	響指 🤞🏻
響鈴	響鈴 🔔
喲	喲 😯
哥倫比亞	哥倫比亞 🇨🇴
哥倆	哥倆 👬🏻
哥倆好	哥倆好 👬🏻
哥妹	哥妹 👫🏻
哥弟	哥弟 👬🏻
哥斯大黎加	哥斯大黎加 🇨🇷
哥斯達黎加	哥斯達黎加 🇨🇷
哦	哦 😮 😯
哦哦	哦哦 😀
哦耶	哦耶 ✌🏻️
哭	哭 😭 😢
哭了	哭了 😭
哭泣	哭泣 😭 😢
哭笑	哭笑 😂 😹
哼	哼 😤 😾 🙄
唇	唇 👄
唇印	唇印 💋
唇彩	唇彩 💄
唇膏	唇膏 💄
唉	唉 😔 😪 😩 😮‍💨
唓	唓 😏 😝 🤪
唔好意思	唔好意思 🙏🏻
唔好講	唔好講 🙊
唔明	唔明 😵 😵‍💫
唔畀聽	唔畀聽 🙉
唔畀睇	唔畀睇 🙈
唔畀講	唔畀講 🙊
唯利是圖	唯利是圖 🤑
唱	唱 🎤️
唱歌	唱歌 🎤️
唵	唵 🕉️
商場	商場 🏬
商標	商標 ™️
啊	啊 😥 😢 😿 🤨 😦
啊嚏	啊嚏 🤧
問嘆號	問嘆號 ⁉️
問號	問號 ❓ ❔
啤酒	啤酒 🍺
啥也沒說	啥也沒說 🙊
啥啊	啥啊 😲
喀麥隆	喀麥隆 🇨🇲
喇叭	喇叭 🎺 📣 🔈
喊	喊 🗣️
喊話	喊話 🗣️
喔	喔 😮 😶
喔耶	喔耶 ✌🏻️
喜愛	喜愛 😻
喜歡	喜歡 ☺️ 😍 😻 🥰
喜歡你	喜歡你 😍 😻
喝采	喝采 🥳
喧嘩	喧嘩 🗣️
喫吧	喫吧 😋
喫飯	喫飯 🍚
喫麵	喫麵 🍜
営	営 🈺️
噴嚏	噴嚏 🤧
噴頭	噴頭 🚿
噴氣	噴氣 💨
噴泉	噴泉 ⛲️
嗯	嗯 😶 🤨
嗯嗯	嗯嗯 😀
噓	噓 🤫
嘟嘴	嘟嘴 😗
嘪	嘪 😟
嘴	嘴 👄
嘴唇	嘴唇 👄
嘻嘻	嘻嘻 😁
嘿嘿	嘿嘿 😈 😏 😛
噁心	噁心 🤢 🤮
噢	噢 😐 😮
噢噢	噢噢 😀
噢耶	噢耶 ✌🏻️
四	四 4️⃣
四葉草	四葉草 🍀
四點	四點 🕓
四點半	四點半 🕟
四腳蛇	四腳蛇 🦎
回到開始	回到開始 🔚
回到頂部	回到頂部 🔝
回子	回子 👳🏻
回形針	回形針 📎 🖇️
回收	回收 ♻️
囧	囧 😅 😰
圍巾	圍巾 🧣
圍脖	圍脖 🧣
國家公園	國家公園 🏞️
國際	國際 🌐
國際象棋	國際象棋 ♟️
圖瓦盧	圖瓦盧 🇹🇻
圖釘	圖釘 📍 📌
圓圈	圓圈 ⭕️
圓月	圓月 🌕
圓珠筆	圓珠筆 🖊️
圈圈	圈圈 ⭕️
土克斯及開科斯群島	土克斯及開科斯群島 🇹🇨
土庫曼	土庫曼 🇹🇲
土庫曼斯坦	土庫曼斯坦 🇹🇲
土耳其	土耳其 🇹🇷
土豆	土豆 🥜 🥔
土豪	土豪 💰
聖佑達修斯	聖佑達修斯 🇧🇶
聖克里斯多福及尼維斯	聖克里斯多福及尼維斯 🇰🇳
聖盧西亞	聖盧西亞 🇱🇨
聖基茨和尼維斯	聖基茨和尼維斯 🇰🇳
聖多美和普林西比	聖多美和普林西比 🇸🇹
聖多美普林西比	聖多美普林西比 🇸🇹
聖嬰	聖嬰 👼🏻
聖尤斯特歇斯	聖尤斯特歇斯 🇧🇶
聖巴泰勒米	聖巴泰勒米 🇧🇱
聖巴瑟米	聖巴瑟米 🇧🇱
聖文森及格瑞那丁	聖文森及格瑞那丁 🇻🇨
聖文森特和格林納丁斯	聖文森特和格林納丁斯 🇻🇨
聖皮埃爾和密克隆	聖皮埃爾和密克隆 🇵🇲
聖皮耶與密克隆	聖皮耶與密克隆 🇵🇲
聖誕奶奶	聖誕奶奶 🤶🏻
聖誕老奶奶	聖誕老奶奶 🤶🏻
聖誕島	聖誕島 🇨🇽
聖誕樹	聖誕樹 🎄
聖誕老人	聖誕老人 🎅🏻 🧑🏻‍🎄
聖誕老爺爺	聖誕老爺爺 🎅🏻
聖赫倫那	聖赫倫那 🇸🇭
聖赫勒拿	聖赫勒拿 🇸🇭
聖露西亞	聖露西亞 🇱🇨
聖馬利諾	聖馬利諾 🇸🇲
聖馬力諾	聖馬力諾 🇸🇲
在建	在建 🏗️
圭亞那	圭亞那 🇬🇾
地下鐵	地下鐵 🚇
地圖	地圖 🗺️
地球	地球 🌍 🌎 🌏
地瓜	地瓜 🍠
地鐵	地鐵 Ⓜ️ 🚇
坐車	坐車 🚙
塢	塢 ⚓️
墳	墳 ⚰️ 🪦
坦尚尼亞	坦尚尼亞 🇹🇿
坦桑尼亞	坦桑尼亞 🇹🇿
垂斯坦昆哈	垂斯坦昆哈 🇸🇭
垃圾	垃圾 👎🏻
倒讚	倒讚 👎🏻
倒贊	倒贊 👎🏻
垃圾桶	垃圾桶 🚮
垃圾筒	垃圾筒 🗑️
壘球	壘球 🥎
埃及	埃及 🇪🇬
埃塞俄比亞	埃塞俄比亞 🇪🇹
城堡	城堡 🏯 🏰
城市	城市 🏙️
培養基	培養基 🧫
培養皿	培養皿 🧫
培根	培根 🥓
基佬	基佬 👬🏻
基林	基林 🇨🇨
基督教	基督教 ✝️
基里巴斯	基里巴斯 🇰🇮
堆雪人	堆雪人 ⛄️
堡壘	堡壘 🏰
報紙	報紙 📰 🗞️
報表	報表 📊
報警	報警 🚔
塔可	塔可 🌮
塔吉克	塔吉克 🇹🇯
塔吉克斯坦	塔吉克斯坦 🇹🇯
塗指甲	塗指甲 💅🏻
塞內加爾	塞內加爾 🇸🇳
塞爾維亞	塞爾維亞 🇷🇸
塞席爾	塞席爾 🇸🇨
塞拉利昂	塞拉利昂 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞舌爾	塞舌爾 🇸🇨
塞著	塞著 😧
牆磚	牆磚 🧱
