#—	〔連接號,@破折夾注號〕
𝒃	〔小-粗斜體〕
𝒄	〔小-粗斜體〕
𝒅	〔小-粗斜體〕
𝒆	〔小-粗斜體〕
𝒇	〔小-粗斜體〕
𝒈	〔小-粗斜體〕
𝒉	〔小-粗斜體〕
𝒊	〔小-粗斜體〕
𝒋	〔小-粗斜體〕
𝒌	〔小-粗斜體〕
𝒍	〔小-粗斜體〕
𝒎	〔小-粗斜體〕
𝒏	〔小-粗斜體〕
𝒐	〔小-粗斜體〕
𝒑	〔小-粗斜體〕
𝒒	〔小-粗斜體〕
𝒓	〔小-粗斜體〕
𝒔	〔小-粗斜體〕
𝒕	〔小-粗斜體〕
𝒖	〔小-粗斜體〕
𝒗	〔小-粗斜體〕
𝒘	〔小-粗斜體〕
𝒙	〔小-粗斜體〕
𝒚	〔小-粗斜體〕
𝒛	〔小-粗斜體〕
𝖠	〔大-無襯線體〕
𝖡	〔大-無襯線體〕
𝖢	〔大-無襯線體〕
𝖣	〔大-無襯線體〕
𝖤	〔大-無襯線體〕
𝖥	〔大-無襯線體〕
𝖦	〔大-無襯線體〕
𝖧	〔大-無襯線體〕
𝖨	〔大-無襯線體〕
𝖩	〔大-無襯線體〕
𝖪	〔大-無襯線體〕
𝖫	〔大-無襯線體〕
𝖬	〔大-無襯線體〕
𝖭	〔大-無襯線體〕
𝖮	〔大-無襯線體〕
𝖯	〔大-無襯線體〕
𝖰	〔大-無襯線體〕
𝖱	〔大-無襯線體〕
𝖲	〔大-無襯線體〕
𝖳	〔大-無襯線體〕
𝖴	〔大-無襯線體〕
𝖵	〔大-無襯線體〕
𝖶	〔大-無襯線體〕
𝖷	〔大-無襯線體〕
𝖸	〔大-無襯線體〕
𝖹	〔大-無襯線體〕
𝖺	〔小-無襯線體〕
𝖻	〔小-無襯線體〕
𝖼	〔小-無襯線體〕
𝖽	〔小-無襯線體〕
𝖾	〔小-無襯線體〕
𝖿	〔小-無襯線體〕
𝗀	〔小-無襯線體〕
𝗁	〔小-無襯線體〕
𝗂	〔小-無襯線體〕
𝗃	〔小-無襯線體〕
𝗄	〔小-無襯線體〕
𝗅	〔小-無襯線體〕
𝗆	〔小-無襯線體〕
𝗇	〔小-無襯線體〕
𝗈	〔小-無襯線體〕
𝗉	〔小-無襯線體〕
𝗊	〔小-無襯線體〕
𝗋	〔小-無襯線體〕
𝗌	〔小-無襯線體〕
𝗍	〔小-無襯線體〕
𝗎	〔小-無襯線體〕
𝗏	〔小-無襯線體〕
𝗐	〔小-無襯線體〕
𝗑	〔小-無襯線體〕
𝗒	〔小-無襯線體〕
𝗓	〔小-無襯線體〕
𝒜	〔大-手稿體〕
ℬ	〔大-手稿體〕
𝒞	〔大-手稿體〕
𝒟	〔大-手稿體〕
ℰ	〔大-手稿體〕
ℱ	〔大-手稿體〕
𝒢	〔大-手稿體〕
ℋ	〔大-手稿體〕
ℐ	〔大-手稿體〕
𝒥	〔大-手稿體〕
𝒦	〔大-手稿體〕
ℒ	〔大-手稿體〕
ℳ	〔大-手稿體〕
𝒩	〔大-手稿體〕
𝒪	〔大-手稿體〕
𝒫	〔大-手稿體〕
𝒬	〔大-手稿體〕
ℛ	〔大-手稿體〕
𝒮	〔大-手稿體〕
𝒯	〔大-手稿體〕
𝒰	〔大-手稿體〕
𝒱	〔大-手稿體〕
𝒲	〔大-手稿體〕
𝒳	〔大-手稿體〕
𝒴	〔大-手稿體〕
𝒵	〔大-手稿體〕
𝒶	〔小-手稿體〕
𝒷	〔小-手稿體〕
𝒸	〔小-手稿體〕
𝒹	〔小-手稿體〕
ℯ	〔小-手稿體〕
𝒻	〔小-手稿體〕
ℊ	〔小-手稿體〕
𝒽	〔小-手稿體〕
𝒾	〔小-手稿體〕
𝒿	〔小-手稿體〕
𝓀	〔小-手稿體〕
𝓁	〔小-手稿體〕
𝓂	〔小-手稿體〕
𝓃	〔小-手稿體〕
ℴ	〔小-手稿體〕
𝓅	〔小-手稿體〕
𝓆	〔小-手稿體〕
𝓇	〔小-手稿體〕
𝓈	〔小-手稿體〕
𝓉	〔小-手稿體〕
𝓊	〔小-手稿體〕
𝓋	〔小-手稿體〕
𝓌	〔小-手稿體〕
𝓍	〔小-手稿體〕
𝓎	〔小-手稿體〕
𝓏	〔小-手稿體〕
𝔄	〔大-尖角體〕
𝔅	〔大-尖角體〕
ℭ	〔大-尖角體〕
𝔇	〔大-尖角體〕
𝔈	〔大-尖角體〕
𝔉	〔大-尖角體〕
𝔊	〔大-尖角體〕
ℌ	〔大-尖角體〕
ℑ	〔大-尖角體〕
𝔍	〔大-尖角體〕
𝔎	〔大-尖角體〕
𝔏	〔大-尖角體〕
𝔐	〔大-尖角體〕
𝔑	〔大-尖角體〕
𝔒	〔大-尖角體〕
𝔓	〔大-尖角體〕
𝔔	〔大-尖角體〕
ℜ	〔大-尖角體〕
𝔖	〔大-尖角體〕
𝔗	〔大-尖角體〕
𝔘	〔大-尖角體〕
𝔙	〔大-尖角體〕
𝔚	〔大-尖角體〕
𝔛	〔大-尖角體〕
𝔜	〔大-尖角體〕
ℨ	〔大-尖角體〕
𝔞	〔小-尖角體〕
𝔟	〔小-尖角體〕
𝔠	〔小-尖角體〕
𝔡	〔小-尖角體〕
𝔢	〔小-尖角體〕
𝔣	〔小-尖角體〕
𝔤	〔小-尖角體〕
𝔥	〔小-尖角體〕
𝔦	〔小-尖角體〕
𝔧	〔小-尖角體〕
𝔨	〔小-尖角體〕
𝔩	〔小-尖角體〕
𝔪	〔小-尖角體〕
𝔫	〔小-尖角體〕
𝔬	〔小-尖角體〕
𝔭	〔小-尖角體〕
𝔮	〔小-尖角體〕
𝔯	〔小-尖角體〕
𝔰	〔小-尖角體〕
𝔱	〔小-尖角體〕
𝔲	〔小-尖角體〕
𝔳	〔小-尖角體〕
𝔴	〔小-尖角體〕
𝔵	〔小-尖角體〕
𝔶	〔小-尖角體〕
𝔷	〔小-尖角體〕
﹍	〔下虛線〕
﹎	〔下中心點線〕
؟	〔阿拉伯文問號〕
〓	〔相容等號〕
