겺	20
겼	1800
계	1800
곅	20
곆	20
곇	20
곈	1800
곉	20
곊	20
곋	20
곌	1800
곍	20
곎	20
곏	20
곐	20
곑	20
곒	20
곓	20
곔	20
곕	1800
곖	20
곗	1800
곘	20
곙	20
곚	20
곛	20
곜	20
곝	20
곞	20
곟	20
곢	20
곣	20
곥	20
곦	20
곩	20
곪	1800
곫	20
곬	1800
곭	20
곮	20
곯	1800
곲	20
곴	20
과	1800
곽	1800
곾	20
곿	20
관	1800
괁	20
괂	20
괃	20
괄	1800
괅	20
괆	1800
괇	20
괈	20
괉	20
괊	20
괋	20
괌	1800
괍	1800
괎	20
괏	1800
괐	20
광	1800
괒	20
괓	20
괔	20
괕	20
괖	20
괗	20
괘	1800
괙	20
괚	20
괛	20
괜	1800
괝	20
괞	20
괟	20
괠	1800
괡	20
괢	20
괣	20
괤	20
괥	20
괦	20
괧	20
괨	20
괩	1800
괪	20
괫	20
괬	1800
괭	1800
괮	20
괯	20
괰	20
괱	20
괲	20
괳	20
괴	1800
괵	1800
괶	20
괷	20
괸	1800
괹	20
괺	20
괻	20
괼	1800
괽	20
괾	20
괿	20
굀	20
굁	20
굂	20
굃	20
굄	1800
굅	1800
굆	20
굇	1800
굈	20
굉	1800
굊	20
굋	20
굌	20
굍	20
굎	20
굏	20
굒	20
굓	20
굕	20
굖	20
굙	20
굚	20
굛	20
굜	20
굝	20
굞	20
굟	20
굢	20
굤	20
굮	20
굯	20
굱	20
굲	20
굵	1800
굶	1800
굷	20
굸	20
굹	20
굺	20
굻	1800
굾	20
궀	20
궈	1800
궉	1800
궊	20
궋	20
권	1800
궍	20
궎	20
궏	20
궐	1800
궑	20
궒	20
궓	20
궔	20
궕	20
궖	20
궗	20
궘	20
궙	20
궚	20
궛	20
궜	1800
궝	1800
궞	20
궟	20
궠	20
궡	20
궢	20
궣	20
궤	1800
궥	20
궦	20
궧	20
궨	20
궩	20
궪	20
궫	20
궬	20
궭	20
궮	20
궯	20
궰	20
궱	20
궲	20
궳	20
궴	20
궵	20
궶	20
궷	1800
궸	20
궹	20
궺	20
궻	20
궼	20
궽	20
궾	20
궿	20
귀	1800
귁	1800
귂	20
귃	20
귄	1800
귅	20
귆	20
귇	20
귈	1800
귉	20
귊	20
귋	20
귌	20
귍	20
귎	20
귏	20
귐	1800
귑	1800
귒	20
귓	1800
귔	20
귕	20
귖	20
귗	20
귘	20
귙	20
귚	20
귛	20
귞	20
귟	20
귡	20
귢	20
귥	20
귦	20
귧	20
귨	20
귩	20
귪	20
귫	20
귮	20
귰	20
귺	20
귻	20
귽	20
귾	20
긁	1800
긂	20
긃	20
긄	20
긅	20
긆	20
긇	20
긊	20
긌	20
긔	1800
긕	20
긖	20
긗	20
긘	20
긙	20
긚	20
긛	20
긜	20
긝	20
긞	20
긟	20
긠	20
긡	20
긢	20
긣	20
긤	20
긥	20
긦	20
긧	20
긨	20
긩	20
긪	20
긫	20
긬	20
긭	20
긮	20
긯	20
긲	20
긳	20
긵	20
긶	20
긹	20
긺	1800
긻	20
긼	20
긽	20
긾	20
긿	20
깂	20
깄	20
까	1800
깍	1800
깎	1800
깏	20
깐	1800
깑	20
깒	20
깓	20
깔	1800
깕	20
깖	1800
깗	20
깘	20
깙	20
깚	20
깛	20
깜	1800
깝	1800
깞	20
깟	1800
깠	1800
깡	1800
깢	20
깣	20
깤	20
깥	1800
깦	20
깧	20
깨	1800
깩	1800
깪	20
깫	20
깬	1800
깭	20
깮	20
깯	20
깰	1800
깱	20
깲	20
깳	20
깴	20
깵	20
깶	20
깷	20
깸	1800
깹	1800
깺	20
깻	1800
깼	1800
깽	1800
깾	20
깿	20
꺀	20
꺁	20
꺂	20
꺃	20
꺄	1800
꺅	1800
꺆	20
꺇	20
꺈	20
꺉	20
꺊	20
꺋	20
꺌	1800
꺍	20
꺎	20
꺏	20
꺐	20
꺑	20
꺒	20
꺓	20
꺔	20
꺕	20
꺖	20
꺗	20
꺘	20
꺙	20
꺚	20
꺛	20
꺜	20
꺝	20
꺞	20
꺟	20
꺠	20
꺡	20
꺢	20
꺣	20
꺤	20
꺥	20
꺦	20
꺧	20
꺨	20
꺩	20
꺪	20
꺫	20
꺬	20
꺭	20
꺮	20
꺯	20
꺰	20
꺱	20
꺲	20
꺳	20
꺴	20
꺵	20
꺶	20
꺷	20
꺸	20
꺹	20
꺺	20
꺻	20
꺼	1800
꺽	1800
꺾	1800
꺿	20
껀	1800
껁	20
껂	20
껃	20
껄	1800
껅	20
껆	20
껇	20
껈	20
껉	20
껊	20
껋	20
껌	1800
껍	1800
껎	20
껏	1800
껐	1800
껑	1800
껒	20
껓	20
껔	20
껕	20
껖	20
껗	20
께	1800
껙	1800
껚	20
껛	20
껜	1800
껝	20
껞	20
껟	20
껠	20
껡	20
껢	20
껣	20
껤	20
껥	20
껦	20
껧	20
껨	1800
껩	20
껪	20
껫	1800
껬	20
껭	1800
껮	20
껯	20
껰	20
껱	20
껲	20
껳	20
껴	1800
껵	20
껶	20
껷	20
껸	1800
껹	20
껺	20
껻	20
껼	1800
껽	20
껾	20
껿	20
꼀	20
꼁	20
꼂	20
꼃	20
꼄	20
꼅	20
꼆	20
꼇	1800
꼈	1800
꼉	20
꼊	20
꼋	20
꼌	20
꼍	1800
꼎	20
꼏	20
꼐	1800
꼑	20
꼒	20
꼓	20
꼔	20
꼕	20
꼖	20
꼗	20
꼘	20
꼙	20
꼚	20
꼛	20
꼜	20
꼝	20
꼞	20
꼟	20
꼠	20
꼡	20
꼢	20
꼣	20
꼤	20
꼥	20
꼦	20
꼧	20
꼨	20
꼩	20
꼪	20
꼫	20
꼬	1800
꼭	1800
꼮	20
꼯	20
꼰	1800
꼱	20
꼲	1800
꼳	20
꼴	1800
꼵	20
꼶	20
꼷	20
꼸	20
꼹	20
꼺	20
꼻	20
꼼	1800
꼽	1800
꼾	20
꼿	1800
꽀	20
꽁	1800
꽂	1800
꽃	1800
꽄	20
꽅	20
꽆	20
꽇	20
꽈	1800
꽉	1800
꽊	20
꽋	20
꽌	20
꽍	20
꽎	20
꽏	20
꽐	1800
꽑	20
꽒	20
꽓	20
꽔	20
꽕	20
꽖	20
꽗	20
꽘	20
꽙	20
꽚	20
꽛	20
꽜	1800
꽝	1800
꽞	20
꽟	20
꽠	20
꽡	20
꽢	20
꽣	20
꽤	1800
꽥	1800
꽦	20
꽧	20
꽨	20
꽩	20
꽪	20
꽫	20
꽬	20
꽭	20
꽮	20
꽯	20
꽰	20
꽱	20
꽲	20
꽳	20
꽴	20
꽵	20
꽶	20
꽷	20
꽸	20
꽹	1800
꽺	20
꽻	20
꽼	20
꽽	20
꽾	20
꽿	20
꾀	1800
꾁	20
꾂	20
꾃	20
꾄	1800
꾅	20
꾆	20
꾇	20
꾈	1800
꾉	20
꾊	20
꾋	20
꾌	20
꾍	20
꾎	20
꾏	20
꾐	1800
꾑	1800
꾒	20
꾓	20
꾔	20
꾕	1800
꾖	20
꾗	20
꾘	20
꾙	20
꾚	20
꾛	20
꾜	1800
꾝	20
꾞	20
꾟	20
꾠	20
꾡	20
꾢	20
꾣	20
꾤	20
꾥	20
꾦	20
꾧	20
꾨	20
꾩	20
꾪	20
꾫	20
꾬	20
꾭	20
꾮	20
꾯	20
꾰	20
꾱	20
꾲	20
꾳	20
꾴	20
꾵	20
꾶	20
꾷	20
꾸	1800
꾹	1800
꾺	20
꾻	20
꾼	1800
꾽	20
꾾	20
꾿	20
꿀	1800
꿁	20
꿂	20
꿃	20
꿄	20
꿅	20
꿆	20
꿇	1800
꿈	1800
꿉	1800
꿊	20
꿋	1800
꿌	20
꿍	1800
꿎	1800
꿏	20
꿐	20
꿑	20
꿒	20
꿓	20
꿔	1800
꿕	20
꿖	20
꿗	20
꿘	20
꿙	20
꿚	20
꿛	20
꿜	1800
꿝	20
꿞	20
꿟	20
꿠	20
꿡	20
꿢	20
꿣	20
꿤	20
꿥	20
꿦	20
꿧	20
꿨	1800
꿩	1800
꿪	20
꿫	20
꿬	20
꿭	20
꿮	20
꿯	20
꿰	1800
꿱	1800
꿲	20
꿳	20
꿴	1800
꿵	20
꿶	20
꿷	20
꿸	1800
꿹	20
꿺	20
꿻	20
꿼	20
꿽	20
꿾	20
꿿	20
뀀	1800
뀁	1800
뀂	20
뀃	20
뀄	1800
뀅	20
뀆	20
뀇	20
뀈	20
뀉	20
뀊	20
뀋	20
뀌	1800
뀍	20
뀎	20
뀏	20
뀐	1800
뀑	20
뀒	20
뀓	20
뀔	1800
뀕	20
뀖	20
뀗	20
뀘	20
뀙	20
뀚	20
뀛	20
뀜	1800
뀝	1800
뀞	20
뀟	20
뀠	20
뀡	20
뀢	20
뀣	20
뀤	20
뀥	20
뀦	20
뀧	20
뀨	1800
뀩	20
뀪	20
뀫	20
뀬	20
뀭	20
뀮	20
뀯	20
뀰	20
뀱	20
뀲	20
뀳	20
뀴	20
뀵	20
뀶	20
뀷	20
뀸	20
뀹	20
뀺	20
뀻	20
뀼	20
뀽	20
뀾	20
뀿	20
끀	20
끁	20
끂	20
끃	20
끄	1800
끅	1800
끆	20
끇	20
끈	1800
끉	20
끊	1800
끋	20
끌	1800
끍	20
끎	1800
끏	20
끐	20
끑	20
끒	20
끓	1800
끔	1800
끕	1800
끖	20
끗	1800
끘	20
끙	1800
끚	20
끛	20
끜	20
끝	1800
끞	20
끟	20
끠	20
끡	20
끢	20
끣	20
끤	20
끥	20
끦	20
끧	20
끨	20
끩	20
끪	20
끫	20
끬	20
끭	20
끮	20
끯	20
끰	20
끱	20
끲	20
끳	20
끴	20
끵	20
끶	20
끷	20
끸	20
끹	20
끺	20
끻	20
끼	1800
끽	1800
끾	20
끿	20
낀	1800
낁	20
낂	20
낃	20
낄	1800
낅	20
낆	20
낇	20
낈	20
낉	20
낊	20
낋	20
낌	1800
낍	1800
낎	20
낏	1800
낐	20
낑	1800
낒	20
낓	20
낔	20
낕	20
낖	20
낗	20
낚	1800
낛	20
낝	20
낞	20
낡	1800
낢	1800
낣	20
낤	20
낥	20
낦	20
낧	20
